,text,category,entity_type,entity_value,start_offset,end_offset,tags
1163,check invoice from last month,check_invoice,,,,,BK
1164,see my bill #85632,check_invoice,invoice_id,#85632,12.0,18.0,BL
1165,i dont know how i can find my bill #37777,check_invoice,invoice_id,#37777,35.0,41.0,BLQ
1166,where can i take a quick look at the invoice #00108,check_invoice,invoice_id,#00108,45.0,51.0,BIQ
1167,can you help me locate invoice #85632?,check_invoice,invoice_id,#85632,31.0,37.0,BIL
1168,is it possible to locate my invoice #85632,check_invoice,invoice_id,#85632,36.0,42.0,BILQ
1169,checking invoices from August,check_invoice,,,,,BKM
1170,I want assistance finding the invoice #12588,check_invoice,invoice_id,#12588,38.0,44.0,B
1171,i want assistance to check the bill #12588,check_invoice,invoice_id,#12588,36.0,42.0,BLQ
1172,i need help to check my bill #37777,check_invoice,invoice_id,#37777,29.0,35.0,BLQ
1173,check invoices from October,check_invoice,,,,,BKM
1174,see bill #37777,check_invoice,invoice_id,#37777,9.0,15.0,BL
1175,checking invoice from Mr. Smith,check_invoice,person_name,Mr. Smith,22.0,31.0,BK
1176,check invoice #85632,check_invoice,invoice_id,#85632,14.0,20.0,BK
1177,i do not know how i can find bill #00108,check_invoice,invoice_id,#00108,34.0,40.0,BELQ
1178,need help to check the invoices from David Miller,check_invoice,person_name,David Miller,37.0,49.0,BMQ
1179,check invoices,check_invoice,,,,,BKM
1180,I do not know how I can see the invoice #37777,check_invoice,invoice_id,#37777,40.0,46.0,BEL
1181,check invoices from Ms. Hawkings,check_invoice,person_name,Ms. Hawkings,20.0,32.0,BKM
1182,where do I look for the bill from Mr. Jones?,check_invoice,person_name,Mr. Jones,34.0,43.0,BIL
1183,checking invoice from Ms. Hawkings,check_invoice,person_name,Ms. Hawkings,22.0,34.0,BK
1184,i do not know what to do to look for my bill #12588,check_invoice,invoice_id,#12588,45.0,51.0,BELQ
1185,I need help t check the invoices from Mr. Smith,check_invoice,person_name,Mr. Smith,38.0,47.0,BMZ
1186,check invoice from September,check_invoice,,,,,BK
1187,how do ifind my damn invoice from Anna Freeman,check_invoice,person_name,Anna Freeman,34.0,46.0,BILQWZ
1188,check invoice from 10 purchases ago,check_invoice,,,,,BKM
1189,i have got to guve a quick look at the bill #37777,check_invoice,invoice_id,#37777,44.0,50.0,BLQZ
1190,help me see my bill #37777,check_invoice,invoice_id,#37777,20.0,26.0,BL
1191,I don't know how to locate the invoice #85632,check_invoice,invoice_id,#85632,39.0,45.0,BL
1192,I want assistance seeing the fucking bills from Mr. Smith,check_invoice,person_name,Mr. Smith,48.0,57.0,BLMW
1193,need to see my invoices from Mr. Jones can ya help me,check_invoice,person_name,Mr. Jones,29.0,38.0,BCILMQ
1194,where to locate my bill from David Miller,check_invoice,person_name,David Miller,29.0,41.0,BILQ
1195,i do not know how i can locate invoice #85632,check_invoice,invoice_id,#85632,39.0,45.0,BELQ
1196,I try to find my bills from Mr. Smith,check_invoice,person_name,Mr. Smith,28.0,37.0,BLM
1197,I do not know what to do to take a quick look at bill #00108,check_invoice,invoice_id,#00108,54.0,60.0,BEL
1198,wanna locate bill #00108 how can i do it,check_invoice,invoice_id,#00108,18.0,24.0,BCILQ
1199,find my bill from David Miller,check_invoice,person_name,David Miller,18.0,30.0,BL
1200,can you help me to take a quick look at the bill #37777?,check_invoice,invoice_id,#37777,49.0,55.0,BIL
1201,how to check the bloody bill from Ms. Hawkings?,check_invoice,person_name,Ms. Hawkings,34.0,46.0,BILW
1202,checking invoices from Anna Freeman,check_invoice,person_name,Anna Freeman,23.0,35.0,BKM
1203,what do I have to do to see my bill #00108?,check_invoice,invoice_id,#00108,36.0,42.0,BIL
1204,I don't know how I can check invoice #12588,check_invoice,invoice_id,#12588,37.0,43.0,B
1205,I need assistance to check my bill #12588,check_invoice,invoice_id,#12588,35.0,41.0,BL
1206,"I have to see my bill from Ms. Hawkings, how could I do it?",check_invoice,person_name,Ms. Hawkings,27.0,39.0,BCILP
1207,wanna see bill #85632 how can i do it,check_invoice,invoice_id,#85632,15.0,21.0,BCILQ
1208,I do not know what I have to do to see my invoice #85632,check_invoice,invoice_id,#85632,50.0,56.0,BEL
1209,I do not know how I could locate the bill from Ms. Hawkings,check_invoice,person_name,Ms. Hawkings,47.0,59.0,BELP
1210,can you help me to look for my invoice from Ms. Hawkings?,check_invoice,person_name,Ms. Hawkings,44.0,56.0,BIL
1211,look for invoice  #00108,check_invoice,invoice_id,#00108,18.0,24.0,BKLZ
1212,where to check thee bill #00108?,check_invoice,invoice_id,#00108,25.0,31.0,BILZ
1213,I want help seeing your payment methods,check_payment_methods,,,,,BL
1214,I do not know how I can see the accepted payment modalities,check_payment_methods,,,,,BEL
1215,can you help me check your accepted payment options?,check_payment_methods,,,,,BIL
1216,i do not know how to check ur accepted payment modalities,check_payment_methods,,,,,BELQ
1217,tell me what payment methods are accepted,check_payment_methods,,,,,BL
1218,see your acfcepted payment modalities,check_payment_methods,,,,,BLZ
1219,I need help checking what payment options are accepted,check_payment_methods,,,,,BL
1220,assistance seeing the accepted payment options,check_payment_methods,,,,,BL
1221,could uhelp me to see what goddamn payment methods uaccept,check_payment_methods,,,,,BILPQW
1222,I want to list your paymnet methods,check_payment_methods,,,,,BLZ
1223,need assistance seeing ur available payment modalities,check_payment_methods,,,,,BLQ
1224,can ya help me listing the available payment methods,check_payment_methods,,,,,BILQ
1225,what do I need to do to list the payment methods?,check_payment_methods,,,,,BIL
1226,I am trying to see your accepted payment modalities,check_payment_methods,,,,,BL
1227,"I want to check your payment options, will you help me?",check_payment_methods,,,,,BCILP
1228,can ya help me checking what payment options are available,check_payment_methods,,,,,BILQ
1229,i try to check the payment options,check_payment_methods,,,,,BLQ
1230,how can I check the available payment options?,check_payment_methods,,,,,BIL
1231,can you help me checking the accepted payment methods?,check_payment_methods,,,,,BIL
1232,show payment methods,check_payment_methods,,,,,BKL
1233,where can I check your payment modalities?,check_payment_methods,,,,,BIL
1234,need help to see what payment methods are available,check_payment_methods,,,,,BLQ
1235,I have got to list the available payment methods,check_payment_methods,,,,,BL
1236,I don't know how I can check the available payment options,check_payment_methods,,,,,BL
1237,help me checking the accepted payment methods,check_payment_methods,,,,,BL
1238,I need help to see the fucking payment methods,check_payment_methods,,,,,BLW
1239,I'm trying to check ur payment options,check_payment_methods,,,,,BLQ
1240,i want help listing ur available payment modalities,check_payment_methods,,,,,BLQ
1241,i do not know how i can see ur accepted payment options,check_payment_methods,,,,,BELQ
1242,what are your payment modalities?,check_payment_methods,,,,,BIL
1243,"I have got to see the payment options, could you help me?",check_payment_methods,,,,,BCILP
1244,how to see your payment methods?,check_payment_methods,,,,,BIL
1245,I have got to check your accepted payment potions,check_payment_methods,,,,,BLZ
1246,how to check what payment methods are allowed?,check_payment_methods,,,,,BIL
1247,is it possible to check what payment options you accept?,check_payment_methods,,,,,BIL
1248,i need assistance to check what payment methods are accepted,check_payment_methods,,,,,BLQ
1249,can ya help me to list the available payment methods,check_payment_methods,,,,,BILQ
1250,I do not know how to check the allowed paymnent options,check_payment_methods,,,,,BELZ
1251,how can I chcek the accepted payment modalities?,check_payment_methods,,,,,BILZ
1252,wanna see what payment  methods are available,check_payment_methods,,,,,BLQZ
1253,help me seeing the accepted payment methods,check_payment_methods,,,,,BL
1254,how can I see the available payment modalities?,check_payment_methods,,,,,BIL
1255,"I need to see the accepted payment methods, help me",check_payment_methods,,,,,BCL
1256,ihave to see ur payment options how to do it,check_payment_methods,,,,,BCILQZ
1257,i have got to check what payment options are available,check_payment_methods,,,,,BLQ
1258,show me the accepted paymnt options,check_payment_methods,,,,,BLZ
1259,I have got to see your fucking payment options,check_payment_methods,,,,,BLW
1260,could you help me see your available payment options?,check_payment_methods,,,,,BILP
1261,help seeing ur available payment methods,check_payment_methods,,,,,BLQ
1262,where could I check your payment modalities?,check_payment_methods,,,,,BILP
1263,I need help checking your available payment methods,check_payment_methods,,,,,BL
1264,I have got to see the payment options,check_payment_methods,,,,,BL
1265,where do I see your accepted payment modalities?,check_payment_methods,,,,,BIL
1266,i have to check thee damn payment modalities i need help,check_payment_methods,,,,,BCLQWZ
1267,where can i see ur availabe payment modalities,check_payment_methods,,,,,BILQZ
1268,how to list your allowed payment options?,check_payment_methods,,,,,BIL
1269,"I want to check the payment options, can you help me?",check_payment_methods,,,,,BCIL
1270,I try to check the allowed payment modalities,check_payment_methods,,,,,BL
1271,I want to check the available payment options,check_payment_methods,,,,,BL
1272,I need help to check the available payment methods,check_payment_methods,,,,,BL
1273,want help to check your available poayment options,check_payment_methods,,,,,BLQZ
1274,where to see the allowed payment options?,check_payment_methods,,,,,BIL
1275,how do i list the pament modalities,check_payment_methods,,,,,BILQZ
1276,can you help me see the available payment methods?,check_payment_methods,,,,,BIL
1277,I'd like  to list the allowed payment methods how do i do it,check_payment_methods,,,,,BCILPQZ
1278,wanna see ur payment options,check_payment_methods,,,,,BLQ
1279,where do I check the payment methods?,check_payment_methods,,,,,BIL
1280,I need assistance to check your available payment modalities,check_payment_methods,,,,,BL
1281,I need assistance listing the available payment methods,check_payment_methods,,,,,BL
1282,i need assistance to check ur allowed payment modalities,check_payment_methods,,,,,BLQ
1283,i need assistance checking ur accepted payment mehods,check_payment_methods,,,,,BLQZ
1284,"I need to see your payment methods, could you help me?",check_payment_methods,,,,,BCILP
1285,help me to list ur availlable payment methods,check_payment_methods,,,,,BLQZ
1286,i dont know how to see ur payment methods,check_payment_methods,,,,,BLQ
1287,I don't know how I can list the payment options,check_payment_methods,,,,,BL
1288,"I need to see your payment methods, how to do it?",check_payment_methods,,,,,BCIL
1289,can uhelp me see the available payment modalities,check_payment_methods,,,,,BILQ
1290,where could I check the payment options?,check_payment_methods,,,,,BILP
1291,I have got to list your payment methods,check_payment_methods,,,,,BL
1292,"I want to list the accepted payment modalities, I need help",check_payment_methods,,,,,BCL
1293,assistance to check ur payment options,check_payment_methods,,,,,BLQ
1294,wanna check what payment methods are allowed how can i do it,check_payment_methods,,,,,BCILQ
1295,can yoj help me to list the payment methods?,check_payment_methods,,,,,BILZ
1296,can you tell me what payment methods are available?,check_payment_methods,,,,,BI
1297,"I want to list your accepted payment options, I need help",check_payment_methods,,,,,BCL
1298,i try to list ur available payment modalities,check_payment_methods,,,,,BLQ
1299,want assistance checking what payment methods are allowed,check_payment_methods,,,,,BLQ
1300,I try to check the allowed payment methods,check_payment_methods,,,,,BL
1301,nmeed help seeing your allowed payment methods,check_payment_methods,,,,,BLQZ
1302,can ya help me see ur allowed payment options,check_payment_methods,,,,,BILQ
1303,I want help seeing the accepted payment methods,check_payment_methods,,,,,BL
1304,how do I list the payment modalities?,check_payment_methods,,,,,BIL
1305,i want help to see ur available payment modalities,check_payment_methods,,,,,BLQ
1306,how do I check what payment payment modalities are accepted?,check_payment_methods,,,,,BIL
1307,check your available payment options,check_payment_methods,,,,,BL
1308,where do I list the allowed payment modalities?,check_payment_methods,,,,,BIL
1309,i have got tro check ur accepted payment methods i need help,check_payment_methods,,,,,BCLQZ
1310,need help to list your payment modalities,check_payment_methods,,,,,BLQ
1311,"I have to see what payment methods are available, help me",check_payment_methods,,,,,BCL
1312,I try to see what payment payment modalities you accept,check_payment_methods,,,,,BL
1313,want assistance to check the available payment modalities,check_payment_methods,,,,,BLQ
1314,I need help checking your payment methods,check_payment_methods,,,,,BL
1315,where do I see your damn available payment modalities ?,check_payment_methods,,,,,BILWZ
1316,help to check ur available payment options,check_payment_methods,,,,,BLQ
1317,I need help to check the acepted payment methods,check_payment_methods,,,,,BLZ
1318,I'm trying to see ur available payment modalities,check_payment_methods,,,,,BLQ
1319,need help to check ur acepted payment methods,check_payment_methods,,,,,BLQZ
1320,help  to check what payment options are accepted,check_payment_methods,,,,,BLZ
1321,I don't know how I can see your payment options,check_payment_methods,,,,,BL
1322,what do I have to do to see your available payment options?,check_payment_methods,,,,,BIL
1323,I want help seeing the payment  methods,check_payment_methods,,,,,BLZ
1324,I need to list your available payment methods,check_payment_methods,,,,,BL
1325,assistance checking your acceptde payment methods,check_payment_methods,,,,,BLZ
1326,help to check what payment payment modalities ya accept,check_payment_methods,,,,,BLQ
1327,help listing the fucking available payment options,check_payment_methods,,,,,BLW
1328,help me checking your accepted payment options,check_payment_methods,,,,,BL
1329,I need to check the availablepayment methods,check_payment_methods,,,,,BLZ
1330,I want help seeing what payment methods are allowed,check_payment_methods,,,,,BL
1331,help seeing what payment options are accepted,check_payment_methods,,,,,BL
1332,where can I check your available payment options?,check_payment_methods,,,,,BIL
1333,what do i have to do to lst the allowed payment modalities,check_payment_methods,,,,,BILQZ
1334,i do not know how to see the payment modalities,check_payment_methods,,,,,BELQ
1335,what do I need to do to check the payment options?,check_payment_methods,,,,,BIL
1336,can ya helpme to check the payment modalities,check_payment_methods,,,,,BILQZ
1337,what payment payment modalities are accepted?,check_payment_methods,,,,,BIL
1338,help me chceking the available payment options,check_payment_methods,,,,,BLZ
1339,I try to see your allowed payment methods,check_payment_methods,,,,,BL
1340,help me checking your payment options,check_payment_methods,,,,,BL
1341,want help to list ur damn accepted payment modalities,check_payment_methods,,,,,BLQW
1342,help me to list the accepted payment options,check_payment_methods,,,,,BL
1343,I am trying to see the accepted payment methods,check_payment_methods,,,,,BL
1344,"I have to check the allowed payment options, how to do it?",check_payment_methods,,,,,BCIL
1345,wanna see what paymnent methods are allowed,check_payment_methods,,,,,BLQZ
1346,where do I check the available payment modalities?,check_payment_methods,,,,,BIL
1347,help checking what ppayment payment modalities are available,check_payment_methods,,,,,BLZ
1348,is it possible too list ur payment methods,check_payment_methods,,,,,BILQZ
1349,I don't know how to list the accepted payment modalities,check_payment_methods,,,,,BL
1350,i have to see the available payment modalities help me,check_payment_methods,,,,,BCLQ
1351,can i see what paymenbt methods are accepted,check_payment_methods,,,,,BILQZ
1352,i need help checking what payment options are accepted,check_payment_methods,,,,,BLQ
1353,I need assistance to list your accepted payment modalities,check_payment_methods,,,,,BL
1354,i have to see what payment options are available,check_payment_methods,,,,,BLQ
1355,help to list your payment options,check_payment_methods,,,,,BL
1356,where to check what payment options you accept?,check_payment_methods,,,,,BIL
1357,i want help to check the available payment options,check_payment_methods,,,,,BLQ
1358,I do not know how to see your available payment options,check_payment_methods,,,,,BEL
1359,how to see the available payment options?,check_payment_methods,,,,,BIL
1360,I need assistance to list the damn payment methods,check_payment_methods,,,,,BLW
1361,check allowed payment methods,check_payment_methods,,,,,BK
1362,what are the payment options available?,check_payment_methods,,,,,BIL
1363,how could I check your payment options?,check_payment_methods,,,,,BILP
1364,i need assistance checking ur avaialble payment modalities,check_payment_methods,,,,,BLQZ
1365,what do I need to do to list your available payment methods?,check_payment_methods,,,,,BIL
1366,need assistance to see what payment methds are allowed,check_payment_methods,,,,,BLQZ
1367,"I want to check your payment methods, I need assistance",check_payment_methods,,,,,BCL
1368,I'm trying to list the available payment options,check_payment_methods,,,,,BLQ
1369,need help to check what payment methods are available,check_payment_methods,,,,,BQ
1370,how could I see your allowed payment modalities?,check_payment_methods,,,,,BILP
1371,need assistance to check ur accepted payment options,check_payment_methods,,,,,BLQ
1372,assistance seeing what payment methods you accept,check_payment_methods,,,,,BL
1373,want help to see ur accepted payment modalities,check_payment_methods,,,,,BLQ
1374,wanna see the payment options i need assistance,check_payment_methods,,,,,BCLQ
1375,is it possible to see what payment methods are available?,check_payment_methods,,,,,BIL
1376,how can i check ur allowed payment methods,check_payment_methods,,,,,BIQ
1377,want assistance listing the accepted payment options,check_payment_methods,,,,,BLQ
1378,I don't know how I can check your accepted payment methods,check_payment_methods,,,,,BL
1379,help listing your allowed payment options,check_payment_methods,,,,,BL
1380,need assistance seeing your allowed payment options,check_payment_methods,,,,,BLQ
1381,allowed payment methods,check_payment_methods,,,,,BK
1382,I do not know how to see the allowed payment modalities,check_payment_methods,,,,,BEL
1383,where can I list your accepted payment methods?,check_payment_methods,,,,,BIL
1384,how can I check the payment modalities?,check_payment_methods,,,,,BIL
1385,"I want to see the payment methods, help me",check_payment_methods,,,,,BCL
1386,i hyave to check the accepted payment modalities,check_payment_methods,,,,,BLQZ
1387,I need help listing the bloody payment options,check_payment_methods,,,,,BLW
1388,I want to lisg your allowed payment options,check_payment_methods,,,,,BLZ
1389,wanna list ur payment methods,check_payment_methods,,,,,BLQ
1390,want assistance checking ur payment modalities,check_payment_methods,,,,,BLQ
1391,I need assistance seeing your available payment modalities,check_payment_methods,,,,,BL
1392,what payment options uaccept,check_payment_methods,,,,,BILQ
1393,"I need to list your available  payment methods, help me",check_payment_methods,,,,,BCLZ
1394,need to see the payment methods,check_payment_methods,,,,,BLQ
1395,I do not know how to see your accepted payment modalities,check_payment_methods,,,,,BEL
1396,I need help to check your payment modalities,check_payment_methods,,,,,BL
1397,list your available payment options,check_payment_methods,,,,,BL
1398,check accepted payment methods,check_payment_methods,,,,,BKL
1399,need to check ur fucking available payment options,check_payment_methods,,,,,BLQW
1400,I have got to see the allowed payment options,check_payment_methods,,,,,BL
1401,help me to check your allowed payment options,check_payment_methods,,,,,BL
1402,how can I see what payment payment modalities are allowed?,check_payment_methods,,,,,BIL
1403,how do I list your bloody payment modalities?,check_payment_methods,,,,,BILW
1404,I try to see what payment methods you accept,check_payment_methods,,,,,BL
1405,i dont know how i could check ur allowed payment modalities,check_payment_methods,,,,,BLPQ
1406,I want to list your payment modalities,check_payment_methods,,,,,BL
1407,help me check the available payment options,check_payment_methods,,,,,BL
1408,I am trying to check the available payment methods,check_payment_methods,,,,,BL
1409,where to see what payment payment modalities you accept?,check_payment_methods,,,,,BIL
1410,help me see what payment options are accepted,check_payment_methods,,,,,BL
1411,iwant assistance to see ur available payment options,check_payment_methods,,,,,BLQZ
1412,help to list the accepted payment options,check_payment_methods,,,,,BL
1413,I don't know how to check the payment modalities,check_payment_methods,,,,,BL
1414,I'm trying to check the available payment methods,check_payment_methods,,,,,BLQ
1415,I don't know how to list the payment modalities,check_payment_methods,,,,,BL
1416,"I want to check what payment methods are available, help me",check_payment_methods,,,,,BC
1417,I am trying to see the available payment methods,check_payment_methods,,,,,BL
1418,need assistance listing the payment modalities,check_payment_methods,,,,,BLQ
1419,where to see the payment options?,check_payment_methods,,,,,BIL
1420,I have got to see the available payment methods,check_payment_methods,,,,,BL
1421,i have got to check what payment options ya accept,check_payment_methods,,,,,BLQ
1422,I don't know what to do to see the allowed payment options,check_payment_methods,,,,,BL
1423,"I have to check your accepted payment methods, help me",check_payment_methods,,,,,BCL
1424,what do I have to do to see the accepted payment options?,check_payment_methods,,,,,BIL
1425,where do i see what payment options are accepted,check_payment_methods,,,,,BILQ
1426,I want assistance to list the available payment modalities,check_payment_methods,,,,,BL
1427,I do not know what to do to see the allowed payment methods,check_payment_methods,,,,,BEL
1428,where to see the available payment methods?,check_payment_methods,,,,,BIL
1429,I want help to list the available payment methods,check_payment_methods,,,,,BL
1430,can you help me to see your payment methods ?,check_payment_methods,,,,,BILZ
1431,"I have to check your accepted payment methods, I need help",check_payment_methods,,,,,BCL
1432,how do i list ur avaqilable payment options,check_payment_methods,,,,,BILQZ
1433,want help to list the payment modalities,check_payment_methods,,,,,BLQ
1434,I try to  list the payment modalities,check_payment_methods,,,,,BLZ
1435,can you help me see trhe payment methods?,check_payment_methods,,,,,BILZ
1436,i need help checking the accepted payment modalities,check_payment_methods,,,,,BLQ
1437,i need help to list the payment options,check_payment_methods,,,,,BLQ
1438,wheredo i check the accepted payment modalities,check_payment_methods,,,,,BILQZ
1439,I do not know how to check your payment methods,check_payment_methods,,,,,BEL
1440,i have to list ur fucking payment options help me,check_payment_methods,,,,,BCLQW
1441,"I want to check what payment options you accept, help me",check_payment_methods,,,,,BCL
1442,I don't know what to do to see the payment options,check_payment_methods,,,,,BL
1443,i want assistance to see the payment optinos,check_payment_methods,,,,,BLQZ
1444,I need assistance to check your accepted payment options,check_payment_methods,,,,,BL
1445,I want help to check the available payment modalities,check_payment_methods,,,,,BL
1446,can you help me see your accepted payment methods?,check_payment_methods,,,,,BIL
1447,need assistance checking what payment options you accept,check_payment_methods,,,,,BLQ
1448,I need assistance checking your payment options,check_payment_methods,,,,,BL
1449,wanna list ur cacepted payment methods how can i do it,check_payment_methods,,,,,BCILQZ
1450,i need help to list ur acceted payment modalities,check_payment_methods,,,,,BLQZ
1451,help to see your bloody available payment options,check_payment_methods,,,,,BLW
1452,i need help listing the available payment modalities,check_payment_methods,,,,,BLQ
1453,want help listing ur allowed payment modalities,check_payment_methods,,,,,BLQ
1454,where can I check your accepted payment methods?,check_payment_methods,,,,,BIL
1455,can ya help me to list ur allowed payment modalities,check_payment_methods,,,,,BILQ
1456,uaccept  paypal,check_payment_methods,,,,,BILQZ
1457,I want to see the available payment methods,check_payment_methods,,,,,BL
1458,where can I ese the allowed payment modalities?,check_payment_methods,,,,,BILZ
1459,help to see ur acecpted payment modalities,check_payment_methods,,,,,BLQZ
1460,where can i check the payment options,check_payment_methods,,,,,BILQ
1461,i want assistance to list the available payment methods,check_payment_methods,,,,,BLQ
1462,I am trying to see the accepted payment modalities,check_payment_methods,,,,,BL
1463,assistance seeng in what situations can I request refunds,check_refund_policy,,,,,BLZ
1464,I want to check in what cases can I ask for a reimbursement,check_refund_policy,,,,,BL
1465,help to check your money back policy,check_refund_policy,,,,,B
1466,i need assistance seeing ur fucking money back guarantee,check_refund_policy,,,,,BLQW
1467,help me seeing in what situations can I ask for refunds,check_refund_policy,,,,,BL
1468,I want help seeing in what cases can I ask to be reimbursed,check_refund_policy,,,,,BL
1469,I have to check in which situations can I ask for refunds,check_refund_policy,,,,,BL
1470,can I check in what situations can I ask to be reimbursed?,check_refund_policy,,,,,BIL
1471,i have to check in which cases can i request my money back,check_refund_policy,,,,,BLQ
1472,I am trying to check in which cases can I ask for a refund,check_refund_policy,,,,,BL
1473,"I need to check your reimbursement policy, will you help me?",check_refund_policy,,,,,BCILP
1474,help me checking in what cases can i request a refund,check_refund_policy,,,,,BLQ
1475,help to see in which cases can I ask for a reimbursement,check_refund_policy,,,,,BL
1476,can you show  me how long refunds usually take?,check_refund_policy,,,,,BIZ
1477,"I have to check your reimbursement policy, I need assistance",check_refund_policy,,,,,BCL
1478,how can I see your reimbursement policy?,check_refund_policy,,,,,BIL
1479,i have got to check in which cases can i ask for a refund,check_refund_policy,,,,,BLQ
1480,in which cases can i request a reimbursement,check_refund_policy,,,,,BILQ
1481,assistance seeing how long reimbursements usually take,check_refund_policy,,,,,BL
1482,I try to check your money back guarantee,check_refund_policy,,,,,BL
1483,I need help seeing in what cases can I ask to be reimbursed,check_refund_policy,,,,,BL
1484,see in which cases can I ask to be reimbursed,check_refund_policy,,,,,BL
1485,need assistance seeing how long refunds usually take,check_refund_policy,,,,,BLQ
1486,want help to see how long reimbursements atke,check_refund_policy,,,,,BLQZ
1487,I want help to see in what situations can I request a refund,check_refund_policy,,,,,BL
1488,i need help seeing ut money back guarantee,check_refund_policy,,,,,BLQZ
1489,wanna  see in what situations can i ask for refunds,check_refund_policy,,,,,BLQZ
1490,assistance to see in which situations can i ask for refunds,check_refund_policy,,,,,BLQ
1491,i have to ccheck in which cases can i request refunds,check_refund_policy,,,,,BLQZ
1492,can I check under what circumstances can I ask for refunds?,check_refund_policy,,,,,BI
1493,help me to check ur reimbursement oplicy,check_refund_policy,,,,,BLQZ
1494,i have got to see ur money back garantee can ya help me,check_refund_policy,,,,,BCILQZ
1495,help seeing in what situations can i request to be refunded,check_refund_policy,,,,,BLQ
1496,assistance seeing in what cases can I request my money back,check_refund_policy,,,,,BL
1497,i have to see in which cases can i ask for refunds help me,check_refund_policy,,,,,BCLQ
1498,i have to check in what cases can i request a erfund,check_refund_policy,,,,,BLQZ
1499,I need help to see in what cases can I ask for refunds,check_refund_policy,,,,,BL
1500,help to see under what circumstances can I request refunds,check_refund_policy,,,,,BL
1501,I want help checking how long reimbursements take,check_refund_policy,,,,,BL
1502,"I have to check your money back policy, help me",check_refund_policy,,,,,BC
1503,help seeing in what cases can i ask for a refund,check_refund_policy,,,,,BLQ
1504,help me see in what situations can I ask for refunds,check_refund_policy,,,,,BL
1505,I need to see in which situations can I request my money bak,check_refund_policy,,,,,BLZ
1506,help me see in which cases can i request to be refunded,check_refund_policy,,,,,BLQ
1507,want assistance seeing ur money back guarantee,check_refund_policy,,,,,BLQ
1508,need to see in what situations can i ask for reimbhursements,check_refund_policy,,,,,BLQZ
1509,I need to see how long the bloody refunds usually take,check_refund_policy,,,,,BLW
1510,show me under what circumstances can i request refunds,check_refund_policy,,,,,BLQ
1511,I need help seeing how long reimbursements take,check_refund_policy,,,,,BL
1512,in what situations can i ask to be reimbursed,check_refund_policy,,,,,BILQ
1513,I do not know how to check your reimbursement policy,check_refund_policy,,,,,BEL
1514,I can't see your reimbursement policy,check_refund_policy,,,,,BL
1515,i have got to check ur money back policy,check_refund_policy,,,,,BQ
1516,see your refund policy,check_refund_policy,,,,,BKL
1517,need assistance seeing ur money back policy,check_refund_policy,,,,,BLQ
1518,assistance to check in which cases can i request a refund,check_refund_policy,,,,,BLQ
1519,help me check in what cases can I request my money back,check_refund_policy,,,,,BL
1520,I need to see in which cases can I ask to be reimbursed,check_refund_policy,,,,,BL
1521,help me see in what caess can i request reimbursements,check_refund_policy,,,,,BLQZ
1522,help checking in which situations can I ask for a refund,check_refund_policy,,,,,BL
1523,help checking how long reimbursements usually take,check_refund_policy,,,,,BL
1524,"I want to see your money back policy, could you help me?",check_refund_policy,,,,,BCILP
1525,I try to see in whikch cases can I ask for a refund,check_refund_policy,,,,,BLZ
1526,help me see in what situations can i request refunds,check_refund_policy,,,,,BLQ
1527,check your money back policy,check_refund_policy,,,,,BK
1528,can I se under which circumstances can I request refunds?,check_refund_policy,,,,,BILZ
1529,want help seeing in whatsituations can I ask for refunds,check_refund_policy,,,,,BLQZ
1530,I need assistance checking your money back policy,check_refund_policy,,,,,B
1531,can you show me in which cases can I request my money back?,check_refund_policy,,,,,BIL
1532,I need help seeing how long refunds usually take,check_refund_policy,,,,,BL
1533,I need help checking how long reimbursements take,check_refund_policy,,,,,BL
1534,I'm trying to see in what casxes can i ask for refunds,check_refund_policy,,,,,BLQZ
1535,see in what situations can i request the goddamn refunds,check_refund_policy,,,,,BLQW
1536,help me to see in which cases can I request a refund,check_refund_policy,,,,,BL
1537,wanna see ur money back guarantee can i get some help,check_refund_policy,,,,,BCILQ
1538,can you help me see in what cases can I request refunds?,check_refund_policy,,,,,BIL
1539,help to see in hwat situations can i ask to be reimbursed,check_refund_policy,,,,,BLQZ
1540,see under which circumstances can I ask for a refund,check_refund_policy,,,,,BL
1541,in what situations can I ask for a refund?,check_refund_policy,,,,,BIL
1542,help me checking in what cases can I request a refund,check_refund_policy,,,,,BL
1543,"I have to see your money back guarantee , how to do it?",check_refund_policy,,,,,BCILZ
1544,help me see in which cases can I ask to be reimbursed,check_refund_policy,,,,,BL
1545,need help to check ur reimbursementpolicy,check_refund_policy,,,,,BLQZ
1546,under what circumstances can I ask for a damn reimbursement?,check_refund_policy,,,,,BILW
1547,under what circumstances can I request reimbursements ?,check_refund_policy,,,,,BILZ
1548,i have to see in what cases can i request to be refunded,check_refund_policy,,,,,BLQ
1549,could I see your money back policy?,check_refund_policy,,,,,BILP
1550,are charges of services reimbursable?,check_refund_policy,,,,,BIL
1551,help to see in what situations can i request a reimbursement,check_refund_policy,,,,,BLQ
1552,I need help to check in what cases can I ask for a refund,check_refund_policy,,,,,B
1553,where can i check ur money  back policy,check_refund_policy,,,,,BIQZ
1554,will you show me in which situations can I ask for refunds?,check_refund_policy,,,,,BILP
1555,can ya help me checking ur reimbursement policy,check_refund_policy,,,,,BILQ
1556,help me to see in what situations can I ask for refunds,check_refund_policy,,,,,BL
1557,would it be possible to chcek ur bloody money back guarantee,check_refund_policy,,,,,BILPQWZ
